x,y
139,337
254,337
17,338
137,338
138,338
254,338
17,339
135,339
136,339
254,339
17,340
134,340
254,340
17,341
132,341
133,341
254,341
17,342
131,342
254,342
17,343
130,343
254,343
17,344
128,344
129,344
254,344
17,345
127,345
254,345
17,346
92,346
125,346
126,346
254,346
17,347
93,347
118,347
119,347
120,347
121,347
122,347
123,347
124,347
254,347
17,348
94,348
95,348
96,348
97,348
98,348
99,348
100,348
101,348
102,348
111,348
112,348
113,348
114,348
115,348
116,348
117,348
254,348
17,349
103,349
104,349
105,349
106,349
107,349
108,349
109,349
110,349
254,349
17,350
254,350
17,351
254,351
17,352
254,352
17,353
254,353
17,354
254,354
17,355
254,355
17,356
254,356
17,357
254,357
17,358
254,358
17,359
254,359
17,360
254,360
17,361
254,361
17,362
254,362
17,363
254,363
17,364
254,364
17,365
254,365
17,366
254,366
18,367
254,367
18,368
254,368
18,369
254,369
18,370
254,370
18,371
254,371
18,372
254,372
18,373
254,373
18,374
254,374
18,375
254,375
18,376
254,376
19,377
254,377
19,378
254,378
19,379
254,379
19,380
254,380
20,381
254,381
20,382
254,382
20,383
254,383
21,384
254,384
21,385
254,385
21,386
254,386
22,387
254,387
22,388
254,388
22,389
254,389
23,390
253,390
23,391
252,391
24,392
250,392
251,392
24,393
249,393
24,394
247,394
248,394
25,395
246,395
25,396
245,396
26,397
244,397
26,398
243,398
27,399
241,399
242,399
27,400
240,400
27,401
239,401
28,402
238,402
28,403
237,403
29,404
236,404
29,405
234,405
235,405
30,406
233,406
30,407
232,407
30,408
231,408
31,409
230,409
31,410
229,410
32,411
227,411
228,411
32,412
225,412
226,412
33,413
224,413
33,414
223,414
34,415
222,415
34,416
220,416
221,416
35,417
218,417
219,417
35,418
216,418
217,418
36,419
213,419
214,419
215,419
37,420
209,420
210,420
211,420
212,420
37,421
205,421
206,421
207,421
208,421
38,422
200,422
201,422
202,422
203,422
204,422
39,423
40,423
41,423
42,423
43,423
44,423
45,423
46,423
47,423
48,423
49,423
50,423
51,423
52,423
196,423
197,423
198,423
199,423
53,424
54,424
55,424
56,424
57,424
58,424
59,424
60,424
61,424
62,424
63,424
64,424
65,424
66,424
67,424
68,424
69,424
70,424
71,424
72,424
73,424
191,424
192,424
193,424
194,424
195,424
74,425
75,425
76,425
77,425
78,425
79,425
80,425
81,425
82,425
83,425
84,425
85,425
86,425
87,425
88,425
89,425
90,425
91,425
92,425
93,425
94,425
95,425
96,425
97,425
98,425
99,425
100,425
101,425
102,425
103,425
104,425
105,425
106,425
107,425
108,425
109,425
110,425
111,425
112,425
113,425
114,425
115,425
116,425
117,425
118,425
119,425
120,425
121,425
122,425
123,425
124,425
125,425
126,425
127,425
128,425
129,425
130,425
131,425
132,425
133,425
134,425
135,425
136,425
137,425
138,425
139,425
140,425
141,425
142,425
143,425
144,425
145,425
146,425
147,425
148,425
149,425
150,425
151,425
152,425
153,425
154,425
155,425
156,425
157,425
158,425
159,425
160,425
161,425
162,425
163,425
164,425
165,425
166,425
167,425
168,425
169,425
170,425
171,425
172,425
173,425
174,425
175,425
176,425
177,425
178,425
179,425
180,425
181,425
182,425
183,425
184,425
185,425
186,425
187,425
188,425
189,425
190,425
