kappa_m2,kappa_m1,kappa_0,kappa_p1,kappa_p2,yaw,steering,speed
0.19216660435155108,0.17860006080496726,0.179819456577037,0.17281196372232285,0.18421256887215842,0.7385445903314549,0.12454694509506226,4.47672176361084
0.17860006080496726,0.179819456577037,0.17281196372232285,0.18421256887215842,0.18914752463784032,0.7511437421465436,0.12068965286016464,4.5238356590271
0.179819456577037,0.17281196372232285,0.18421256887215842,0.18914752463784032,0.2107901578838813,0.7698806530482452,0.1310344785451889,4.567910671234131
0.17281196372232285,0.18421256887215842,0.18914752463784032,0.2107901578838813,0.21759467679417055,0.7825641354023164,0.14612576365470886,4.6092681884765625
0.18421256887215842,0.18914752463784032,0.2107901578838813,0.21759467679417055,0.23074039003808938,0.8040652272723902,0.1310344785451889,4.6092681884765625
0.18914752463784032,0.2107901578838813,0.21759467679417055,0.23074039003808938,0.2237938894677668,0.8203504582293019,0.1310344785451889,4.651841640472412
0.2107901578838813,0.21759467679417055,0.23074039003808938,0.2237938894677668,0.23399246966915677,0.847283694085836,0.14355430006980896,4.6955437660217285
0.21759467679417055,0.23074039003808938,0.2237938894677668,0.23399246966915677,0.23733950975053772,0.8680898078604997,0.1310344785451889,4.74096155166626
0.23074039003808938,0.2237938894677668,0.23399246966915677,0.23733950975053772,0.25159566619077317,0.8986609740371025,0.1529194712638855,4.787866592407227
0.2237938894677668,0.23399246966915677,0.23733950975053772,0.25159566619077317,0.25624269347911904,0.9189547740836089,0.1449579894542694,4.834193706512451
0.23399246966915677,0.23733950975053772,0.25159566619077317,0.25624269347911904,0.26881421246890375,0.9514880460205613,0.144792377948761,4.880043983459473
0.23733950975053772,0.25159566619077317,0.25624269347911904,0.26881421246890375,0.26125369734569986,0.9729714026671984,0.13363562524318695,4.926443576812744
0.25159566619077317,0.25624269347911904,0.26881421246890375,0.26125369734569986,0.2546856944828239,1.008285388177777,0.12068965286016464,4.973326683044434
0.25624269347911904,0.26881421246890375,0.26125369734569986,0.2546856944828239,0.24577549742483065,1.0329738521591807,0.11404626816511154,5.020094871520996
0.26881421246890375,0.26125369734569986,0.2546856944828239,0.24577549742483065,0.23948897198717473,1.0710441204645327,0.10000000149011612,5.066793918609619
0.26125369734569986,0.2546856944828239,0.24577549742483065,0.23948897198717473,0.22327185935095023,1.0949026600559129,0.08965517580509186,5.113790512084961
0.2546856944828239,0.24577549742483065,0.23948897198717473,0.22327185935095023,0.21309949483402296,1.1285174560199145,0.09310344606637955,5.161088943481445
0.24577549742483065,0.23948897198717473,0.22327185935095023,0.21309949483402296,0.20373156600709189,1.1501122053147956,0.0829559788107872,5.208686828613281
0.23948897198717473,0.22327185935095023,0.21309949483402296,0.20373156600709189,0.1952762857556196,1.1778739711354913,0.07586207240819931,5.256591320037842
0.22327185935095023,0.21309949483402296,0.20373156600709189,0.1952762857556196,0.18585367274851464,1.1945679978069224,0.07306884229183197,5.304762363433838
0.21309949483402296,0.20373156600709189,0.1952762857556196,0.18585367274851464,0.17208496758957922,1.2181271070217392,0.06896551698446274,5.353210926055908
0.20373156600709189,0.1952762857556196,0.18585367274851464,0.17208496758957922,0.1527262921058715,1.2331397883864297,0.06551723927259445,5.401869773864746
0.1952762857556196,0.18585367274851464,0.17208496758957922,0.1527262921058715,0.14229781220487844,1.2550261642746718,0.06658287346363068,5.450767517089844
0.18585367274851464,0.17208496758957922,0.1527262921058715,0.14229781220487844,0.13878277401935837,1.2696163912777263,0.07664944976568222,5.549520492553711
0.17208496758957922,0.1527262921058715,0.14229781220487844,0.13878277401935837,0.13455975425605513,1.287557419887179,0.07029260694980621,5.549520492553711
0.1527262921058715,0.14229781220487844,0.13878277401935837,0.13455975425605513,0.12930111239673434,1.2977687139759897,0.07586207240819931,5.649803161621094
0.14229781220487844,0.13878277401935837,0.13455975425605513,0.12930111239673434,0.1290269103322072,1.3119429693149336,0.079310342669487,5.700598239898682
0.13878277401935837,0.13455975425605513,0.12930111239673434,0.1290269103322072,0.12645546447274422,1.3228548327958078,0.079310342669487,5.75186824798584
0.13455975425605513,0.12930111239673434,0.1290269103322072,0.12645546447274422,0.12631691267011275,1.3387915871439164,0.09038443118333817,5.803655624389648
0.12930111239673434,0.1290269103322072,0.12645546447274422,0.12631691267011275,0.12382022392374616,1.3511947930682502,0.08965517580509186,5.9089035987854
0.1290269103322072,0.12645546447274422,0.12631691267011275,0.12382022392374616,0.12558820877568272,1.3709227259107424,0.09000137448310852,5.962428092956543
0.12645546447274422,0.12631691267011275,0.12382022392374616,0.12558820877568272,0.12438484792991104,1.3846686373290054,0.083381287753582,6.016597270965576
0.12631691267011275,0.12382022392374616,0.12558820877568272,0.12438484792991104,0.1271933053702339,1.405927148040304,0.07586207240819931,6.071442604064941
0.12382022392374616,0.12558820877568272,0.12438484792991104,0.1271933053702339,0.1253613552101245,1.4203734485373491,0.07711584120988846,6.182644844055176
0.12558820877568272,0.12438484792991104,0.1271933053702339,0.1253613552101245,0.12598820454007795,1.4421877887457701,0.06896551698446274,6.237375736236572
0.12438484792991104,0.1271933053702339,0.1253613552101245,0.12598820454007795,0.12113628581335005,1.4569058533609116,0.059326015412807465,6.291219234466553
0.1271933053702339,0.1253613552101245,0.12598820454007795,0.12113628581335005,0.11263816834895533,1.4791259871290205,0.0517241396009922,6.344203472137451
0.1253613552101245,0.12598820454007795,0.12113628581335005,0.11263816834895533,0.10670429703240993,1.4937989870083561,0.037931036204099655,6.447703838348389
0.12598820454007795,0.12113628581335005,0.11263816834895533,0.10670429703240993,0.09890395174962296,1.515548811804277,0.031034482643008232,6.4982709884643555
0.12113628581335005,0.11263816834895533,0.10670429703240993,0.09890395174962296,0.08726236585545961,1.5279549494156486,0.017241379246115685,6.548079967498779
0.11263816834895533,0.10670429703240993,0.09890395174962296,0.08726236585545961,0.07664951137602223,1.5432938088213912,0.014332303777337074,6.597153663635254
0.10670429703240993,0.09890395174962296,0.08726236585545961,0.07664951137602223,0.06968688468495361,1.5523336780638162,0.003448275849223137,6.693181037902832
0.09890395174962296,0.08726236585545961,0.07664951137602223,0.06968688468495361,0.059484281803990555,1.5607081087375332,0.0036169267259538174,6.740173816680908
0.08726236585545961,0.07664951137602223,0.06968688468495361,0.059484281803990555,0.05171431304686322,1.5640468159663379,0.0,6.83220911026001
0.07664951137602223,0.06968688468495361,0.059484281803990555,0.05171431304686322,0.04355803426225331,1.5670176086169822,0.0,6.877286911010742
