x,y,speed
2.6732852733259684,9.069439942928197,3.7500834197520265
2.6158944283588474,9.150835600720152,3.679849048470586
2.5530159577185048,9.228047237116312,3.6118159051004333
2.4846555326996973,9.300481882335013,3.5497080397691665
2.4108816114825937,9.367363517665991,3.5061477492131616
2.331683863463072,9.427731380703616,3.481642542468207
2.2472898390255125,9.48060138968103,3.4675557973391986
2.1582447369011994,9.525145650279512,3.4652128880997233
2.0652188759564094,9.560688708991808,3.463084339510884
1.9691615434939007,9.586835264014699,3.4608044418495
1.8709470134393438,9.603320488437545,3.45873375091416
1.7716212299306928,9.609967254525355,3.456722829729655
1.6720874368084073,9.606685907064605,3.4548593129732126
1.5734191283503816,9.593504864017921,3.4533613419496305
1.4765220238865533,9.570518815124839,3.452030543133548
1.3824398204337365,9.537976326894384,3.450702053544638
1.2920543710038472,9.496155334907211,3.449373052302036
1.2063537477375175,9.445499982575301,3.4481863134780744
1.1258887012562266,9.386755385441342,3.456864742105188
1.0508359925288113,9.321452980822631,3.5060276317637005
0.9808039757194443,9.25078550404968,3.5849006956111995
0.9152459508824297,9.175948933673267,3.6946289502053533
0.8537065886795141,9.097854266198986,3.8240405868682332
0.7959525896024846,9.016758237072361,3.947392627494262
0.7422599917827923,8.933376976237405,4.062487471760909
0.6920197423166202,8.846770195373388,4.056911737213825
0.645760113613273,8.758698888988437,3.9352087903763606
0.6020362242802029,8.668406998713845,3.7547452917526662
0.5612620784089386,8.576465065143466,3.637809873720898
0.5266822508489802,8.484309745430156,3.6364098882679055
0.49955295988193166,8.388411756863665,3.6350093636253464
0.4797757772015023,8.291093274767007,3.685612897650323
0.4654363030561372,8.192930249136127,3.8095196217782132
0.45552472696503943,8.093318802149392,3.9456833950363297
0.4497060006031696,7.993789978048725,4.083091774216963
0.4473608868221532,7.894320198155372,4.229263954777207
0.4478632236664952,7.794673145214379,4.387656122216201
0.4507666834621441,7.695145025576118,4.538611637880731
0.45569229774700537,7.59552251945604,4.682933039761848
0.46220089836880307,7.496254606136646,4.821288402310216
0.46989143088705354,7.396852547798426,4.954240913752144
0.47831420607144576,7.2976927475491795,5.0822705793487435
0.4870817188272334,7.198386380721561,5.205790470566843
0.49575067159529007,7.099242983458631,5.325159107372423
0.5039348356714654,6.999916595745041,5.440690042233883
0.5112085111079089,6.900638134646751,5.552659382028264
0.5171865193404022,6.801181964728525,5.6613117655336005
0.5214716614036325,6.701705938186016,5.766865167264776
0.5237036064755111,6.60212148012532,5.851261543514977
0.5236144399466858,6.502528565683512,5.916551463103469
0.5210217767642947,6.402960974182562,5.964664766567655
0.5160085598977786,6.303480673090921,6.017481901334237
0.5087394547660823,6.204134410055021,6.077772513148313
0.4993052536631029,6.104981925209158,6.139157476819109
0.48776379442668927,6.006043423265131,6.200788639057562
0.47416253265800784,5.907375355759858,6.261537613922897
0.458540021372937,5.809001764261039,6.321346878362114
0.4409358749420141,5.710965587628602,6.380154840247113
0.4213869343557717,5.613298087345338,6.438025254279259
